region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6251,0,39,39,63,0,63,25,0,25,14,0,14,15,0,15,6,0,6,123,39,162
POA6253,0,69,69,128,3,131,21,0,21,20,0,20,5,0,5,5,0,5,179,72,251
POA6254,0,75,75,105,8,113,33,0,33,24,0,24,13,0,13,7,0,7,182,83,265
POA6255,0,368,368,546,24,570,162,3,165,169,0,169,73,0,73,34,0,34,984,395,1379
POA6256,0,16,16,37,0,37,6,0,6,12,0,12,11,0,11,0,0,0,66,16,82
POA6258,0,663,663,836,42,878,314,6,320,305,0,305,165,0,165,62,0,62,1682,711,2393
POA6260,0,120,120,213,6,219,78,0,78,75,3,78,37,0,37,23,0,23,426,129,555
POA6262,0,86,86,120,9,129,48,0,48,31,0,31,16,0,16,3,0,3,218,95,313
POA6271,0,201,201,362,23,385,155,0,155,131,0,131,64,0,64,36,0,36,748,224,972
POA6275,0,147,147,224,14,238,50,0,50,41,0,41,29,0,29,12,0,12,356,161,517
POA6280,0,2063,2063,3101,174,3275,1171,28,1199,1284,9,1293,541,0,541,223,0,223,6320,2274,8594
POA6281,0,370,370,714,64,778,275,24,299,354,4,358,131,3,134,27,0,27,1501,465,1966
POA6282,0,68,68,157,10,167,66,0,66,92,0,92,22,0,22,7,0,7,344,78,422
POA6284,0,103,103,174,11,185,95,0,95,92,0,92,39,0,39,9,0,9,409,114,523
POA6285,0,576,576,828,73,901,453,34,487,432,12,444,178,0,178,41,0,41,1932,695,2627
POA6286,0,48,48,94,4,98,30,0,30,27,0,27,7,0,7,3,0,3,161,52,213
POA6288,0,32,32,76,3,79,13,0,13,22,0,22,3,0,3,4,0,4,118,35,153
POA6290,0,238,238,285,17,302,79,0,79,46,0,46,19,0,19,7,0,7,436,255,691
POA6302,0,349,349,541,27,568,148,0,148,160,0,160,74,0,74,30,0,30,953,376,1329
POA6304,0,202,202,273,9,282,71,3,74,55,0,55,27,0,27,18,0,18,444,214,658
POA6306,0,99,99,123,4,127,46,0,46,38,0,38,12,0,12,14,0,14,233,103,336
POA6308,0,136,136,262,12,274,83,0,83,66,0,66,35,0,35,18,0,18,464,148,612
POA6309,0,29,29,45,3,48,17,0,17,6,0,6,9,0,9,3,0,3,80,32,112
POA6311,0,52,52,90,0,90,23,0,23,43,0,43,13,0,13,5,0,5,174,52,226
POA6312,0,495,495,612,39,651,212,11,223,209,0,209,128,0,128,53,0,53,1214,545,1759
POA6313,0,22,22,60,4,64,23,0,23,23,0,23,5,0,5,3,0,3,114,26,140
POA6315,0,220,220,271,12,283,81,0,81,79,0,79,40,0,40,25,0,25,496,232,728
POA6316,0,36,36,52,3,55,28,0,28,30,0,30,7,0,7,0,0,0,117,39,156
POA6317,0,414,414,474,39,513,186,8,194,180,0,180,125,0,125,86,0,86,1051,461,1512
POA6318,0,22,22,30,0,30,13,0,13,11,0,11,9,0,9,5,0,5,68,22,90
POA6320,0,69,69,103,0,103,43,0,43,47,0,47,30,0,30,17,0,17,240,69,309
POA6321,0,33,33,39,0,39,12,0,12,11,0,11,5,0,5,5,0,5,72,33,105
POA6322,0,37,37,83,0,83,17,0,17,17,0,17,13,0,13,3,0,3,133,37,170
POA6323,0,77,77,157,11,168,49,0,49,42,0,42,23,0,23,7,0,7,278,88,366
POA6324,0,290,290,450,12,462,158,0,158,134,0,134,66,0,66,34,0,34,842,302,1144
POA6326,0,21,21,79,3,82,23,0,23,33,0,33,8,0,8,10,0,10,153,24,177
POA6327,0,27,27,40,4,44,17,0,17,10,0,10,5,0,5,10,0,10,82,31,113
POA6328,0,39,39,61,4,65,15,0,15,24,0,24,14,0,14,0,0,0,114,43,157
POA6330,0,3248,3248,4321,270,4591,1687,48,1735,1622,8,1630,689,3,692,354,3,357,8673,3580,12253
POA6333,0,569,569,802,36,838,253,9,262,246,0,246,86,0,86,36,0,36,1423,614,2037
POA6335,0,90,90,89,7,96,26,0,26,41,0,41,30,0,30,20,0,20,206,97,303
POA6336,0,29,29,41,0,41,10,0,10,9,0,9,5,0,5,3,0,3,68,29,97
POA6337,0,42,42,62,6,68,31,0,31,25,0,25,18,0,18,0,0,0,136,48,184
POA6338,0,93,93,79,8,87,33,0,33,47,0,47,13,0,13,8,0,8,180,101,281
POA6341,0,32,32,47,0,47,9,0,9,18,0,18,11,0,11,0,0,0,85,32,117
POA6343,0,19,19,35,0,35,5,0,5,13,0,13,14,0,14,0,0,0,67,19,86
POA6346,0,68,68,76,3,79,23,0,23,26,0,26,16,0,16,9,0,9,150,71,221
POA6348,0,134,134,187,7,194,53,0,53,67,0,67,34,0,34,11,0,11,352,141,493
POA6350,0,36,36,45,0,45,12,0,12,0,0,0,3,0,3,3,0,3,63,36,99
POA6352,0,40,40,57,3,60,16,0,16,21,0,21,15,0,15,5,0,5,114,43,157
POA6353,0,86,86,109,5,114,34,0,34,30,0,30,24,0,24,5,0,5,202,91,293
POA6355,0,92,92,113,3,116,39,3,42,44,0,44,23,0,23,6,0,6,225,98,323
POA6358,0,17,17,46,0,46,9,0,9,15,0,15,4,0,4,0,0,0,74,17,91
POA6359,0,40,40,43,3,46,16,0,16,23,0,23,8,0,8,4,0,4,94,43,137
POA6365,0,73,73,89,3,92,30,3,33,28,0,28,11,0,11,9,0,9,167,79,246
POA6367,0,38,38,34,3,37,9,0,9,8,0,8,8,0,8,8,0,8,67,41,108
POA6368,0,18,18,36,0,36,9,0,9,8,0,8,6,0,6,0,0,0,59,18,77
POA6369,0,68,68,108,0,108,31,0,31,22,0,22,13,0,13,3,0,3,177,68,245
POA6370,0,63,63,81,4,85,31,0,31,22,0,22,7,0,7,10,0,10,151,67,218
POA6373,0,24,24,38,0,38,10,0,10,13,0,13,9,0,9,0,0,0,70,24,94
POA6375,0,124,124,135,5,140,26,0,26,33,0,33,16,0,16,9,0,9,219,129,348
POA6383,0,121,121,173,13,186,36,0,36,45,0,45,17,0,17,15,0,15,286,134,420
POA6386,0,30,30,34,0,34,5,0,5,15,0,15,10,0,10,4,0,4,68,30,98
POA6390,0,124,124,205,10,215,86,0,86,91,0,91,39,0,39,24,0,24,445,134,579
POA6391,0,88,88,161,6,167,47,3,50,32,0,32,25,0,25,5,0,5,270,97,367
POA6392,0,52,52,75,3,78,28,0,28,23,0,23,14,0,14,4,0,4,144,55,199
POA6393,0,40,40,66,0,66,19,0,19,17,0,17,11,0,11,3,0,3,116,40,156
POA6394,0,28,28,60,4,64,26,0,26,26,0,26,7,0,7,6,0,6,125,32,157
POA6395,0,158,158,229,12,241,72,0,72,80,0,80,26,0,26,17,0,17,424,170,594
POA6396,0,41,41,43,3,46,17,0,17,18,0,18,11,0,11,0,0,0,89,44,133
POA6397,0,40,40,39,4,43,14,0,14,11,0,11,5,0,5,3,0,3,72,44,116
POA6398,0,63,63,100,3,103,24,0,24,16,0,16,12,0,12,4,0,4,156,66,222
POA6401,0,754,754,917,69,986,351,3,354,352,4,356,166,0,166,97,0,97,1883,830,2713
POA6403,0,22,22,27,0,27,10,0,10,7,0,7,9,0,9,3,0,3,56,22,78
POA6405,0,24,24,45,5,50,9,0,9,17,0,17,6,0,6,3,0,3,80,29,109
POA6407,0,98,98,138,6,144,48,7,55,43,0,43,24,0,24,7,0,7,260,111,371
POA6409,0,44,44,43,5,48,21,0,21,15,0,15,17,0,17,3,0,3,99,49,148
POA6410,0,121,121,151,7,158,51,0,51,61,0,61,27,0,27,17,0,17,307,128,435
POA6413,0,7,7,29,0,29,11,0,11,8,0,8,3,0,3,0,0,0,51,7,58
POA6415,0,341,341,353,25,378,142,0,142,117,0,117,64,3,67,28,0,28,704,369,1073
POA6418,0,89,89,121,5,126,28,0,28,30,0,30,10,0,10,14,0,14,203,94,297
POA6421,0,19,19,28,0,28,12,0,12,13,0,13,10,0,10,3,0,3,66,19,85
POA6423,0,29,29,35,3,38,9,0,9,14,0,14,9,0,9,0,0,0,67,32,99
POA6425,0,18,18,27,0,27,6,0,6,13,0,13,0,0,0,0,0,0,46,18,64
POA6426,0,117,117,125,3,128,50,0,50,55,0,55,25,0,25,9,0,9,264,120,384
POA6429,0,131,131,130,7,137,46,0,46,48,3,51,25,0,25,24,0,24,273,141,414
POA6430,0,1594,1594,2090,250,2340,1145,65,1210,1252,27,1279,604,9,613,288,0,288,5379,1945,7324
POA6431,0,38,38,21,4,25,15,0,15,11,0,11,18,0,18,35,0,35,100,42,142
POA6432,0,594,594,726,84,810,408,26,434,349,0,349,175,0,175,111,3,114,1769,707,2476
POA6434,0,5,5,3,0,3,7,0,7,6,0,6,3,0,3,7,0,7,26,5,31
POA6436,0,22,22,14,0,14,7,0,7,6,0,6,3,0,3,3,0,3,33,22,55
POA6437,0,27,27,44,3,47,22,0,22,49,0,49,19,0,19,10,0,10,144,30,174
POA6438,0,81,81,58,6,64,22,0,22,21,0,21,12,0,12,16,0,16,129,87,216
POA6440,0,76,76,54,7,61,21,0,21,11,0,11,10,0,10,17,0,17,113,83,196
POA6442,0,201,201,231,21,252,139,6,145,160,0,160,77,0,77,40,0,40,647,228,875
POA6443,0,124,124,120,9,129,43,0,43,37,3,40,13,0,13,8,0,8,221,136,357
POA6445,0,18,18,19,0,19,8,0,8,7,0,7,8,0,8,0,0,0,42,18,60
POA6447,0,27,27,45,0,45,15,0,15,20,0,20,24,0,24,13,0,13,117,27,144
POA6448,0,31,31,46,3,49,22,0,22,11,0,11,7,0,7,8,0,8,94,34,128
POA6450,0,1117,1117,1492,80,1572,618,10,628,654,4,658,295,0,295,123,3,126,3182,1214,4396
POA6460,0,107,107,143,10,153,42,5,47,47,0,47,26,0,26,11,0,11,269,122,391
POA6461,0,60,60,65,3,68,16,0,16,12,0,12,6,0,6,6,0,6,105,63,168
POA6462,0,21,21,45,3,48,16,0,16,9,0,9,15,0,15,5,0,5,90,24,114
POA6468,0,17,17,15,3,18,14,0,14,9,0,9,9,0,9,7,0,7,54,20,74
POA6472,0,16,16,31,0,31,7,0,7,9,0,9,5,0,5,3,0,3,55,16,71
POA6475,0,52,52,61,6,67,23,0,23,20,0,20,6,0,6,7,0,7,117,58,175
POA6477,0,38,38,38,3,41,21,0,21,12,0,12,4,0,4,4,0,4,79,41,120
POA6479,0,53,53,90,0,90,27,0,27,25,0,25,12,0,12,0,0,0,154,53,207
POA6484,0,8,8,12,0,12,4,0,4,3,0,3,0,0,0,0,0,0,19,8,27
POA6485,0,89,89,69,5,74,24,0,24,20,0,20,12,0,12,0,0,0,125,94,219
POA6488,0,44,44,54,3,57,8,0,8,16,0,16,12,0,12,4,0,4,94,47,141
POA6490,0,29,29,33,3,36,7,0,7,6,0,6,3,0,3,7,0,7,56,32,88
POA6501,0,70,70,120,0,120,59,0,59,52,0,52,34,0,34,19,0,19,284,70,354
POA6502,0,84,84,155,12,167,43,3,46,56,0,56,20,0,20,11,0,11,285,99,384
POA6503,0,181,181,268,4,272,104,4,108,104,0,104,49,0,49,28,0,28,553,189,742
POA6505,0,21,21,43,0,43,12,0,12,12,0,12,7,0,7,3,0,3,77,21,98
POA6507,0,26,26,72,0,72,26,0,26,19,0,19,5,0,5,3,0,3,125,26,151
POA6509,0,39,39,37,3,40,18,3,21,13,0,13,7,0,7,5,0,5,80,45,125
POA6510,0,186,186,251,21,272,109,4,113,91,0,91,44,0,44,35,0,35,530,211,741
POA6511,0,54,54,97,4,101,16,0,16,10,0,10,7,0,7,3,0,3,133,58,191
POA6513,0,15,15,21,0,21,11,0,11,12,0,12,5,0,5,3,0,3,52,15,67
POA6514,0,76,76,100,5,105,18,0,18,23,0,23,14,0,14,3,0,3,158,81,239
POA6515,0,59,59,66,0,66,19,0,19,28,0,28,9,0,9,3,0,3,125,59,184
POA6516,0,169,169,201,9,210,70,0,70,75,0,75,30,0,30,13,0,13,389,178,567
POA6517,0,62,62,59,3,62,15,0,15,25,0,25,6,3,9,3,0,3,108,68,176
POA6518,0,13,13,18,0,18,3,0,3,5,0,5,3,0,3,0,0,0,29,13,42
POA6519,0,76,76,91,6,97,28,0,28,28,0,28,10,0,10,9,0,9,166,82,248
POA6521,0,22,22,50,3,53,25,0,25,11,0,11,8,0,8,6,0,6,100,25,125
POA6522,0,55,55,63,0,63,24,0,24,24,0,24,11,0,11,7,0,7,129,55,184
POA6525,0,319,319,511,25,536,166,3,169,175,3,178,98,0,98,27,0,27,977,350,1327
POA6528,0,22,22,43,3,46,15,0,15,7,0,7,10,0,10,3,0,3,78,25,103
POA6530,0,2951,2951,3673,293,3966,1731,57,1788,1680,10,1690,740,3,743,421,3,424,8245,3317,11562
POA6532,0,395,395,684,33,717,290,0,290,326,0,326,153,0,153,62,3,65,1515,431,1946
POA6535,0,165,165,262,10,272,71,0,71,55,3,58,29,0,29,14,0,14,431,178,609
POA6536,0,172,172,238,8,246,63,0,63,63,0,63,35,0,35,13,0,13,412,180,592
POA6537,0,97,97,111,10,121,26,0,26,27,0,27,5,0,5,0,0,0,169,107,276
POA6556,0,135,135,232,11,243,95,0,95,116,0,116,60,0,60,20,0,20,523,146,669
POA6558,0,62,62,100,4,104,38,0,38,48,0,48,17,0,17,11,0,11,214,66,280
POA6560,0,96,96,146,8,154,57,0,57,62,0,62,39,0,39,30,0,30,334,104,438
POA6562,0,85,85,175,8,183,61,3,64,47,0,47,29,0,29,12,0,12,324,96,420
POA6564,0,29,29,52,0,52,16,0,16,19,3,22,5,0,5,3,0,3,95,32,127
POA6566,0,272,272,490,18,508,157,0,157,120,0,120,58,5,63,37,0,37,862,295,1157
POA6567,0,32,32,69,0,69,18,0,18,20,0,20,5,0,5,4,0,4,116,32,148
POA6568,0,21,21,23,3,26,9,0,9,20,0,20,7,0,7,4,0,4,63,24,87
POA6569,0,44,44,42,5,47,12,0,12,18,0,18,11,0,11,0,0,0,83,49,132
POA6575,0,20,20,39,3,42,5,0,5,13,0,13,7,0,7,0,0,0,64,23,87
POA6603,0,138,138,131,14,145,60,0,60,55,0,55,14,0,14,21,0,21,281,152,433
POA6606,0,33,33,56,0,56,21,0,21,11,0,11,7,0,7,0,0,0,95,33,128
POA6608,0,17,17,36,3,39,13,0,13,7,0,7,10,0,10,3,0,3,69,20,89
POA6609,0,75,75,68,4,72,26,0,26,22,0,22,12,0,12,13,0,13,141,79,220
POA6612,0,23,23,34,0,34,16,0,16,7,0,7,8,0,8,3,0,3,68,23,91
POA6620,0,12,12,25,3,28,5,0,5,12,0,12,4,0,4,4,0,4,50,15,65
POA6623,0,116,116,130,7,137,55,0,55,64,0,64,30,0,30,17,0,17,296,123,419
POA6628,0,15,15,19,0,19,10,0,10,12,0,12,8,0,8,0,0,0,49,15,64
POA6630,0,50,50,54,10,64,17,0,17,17,0,17,8,0,8,11,0,11,107,60,167
POA6635,0,21,21,32,0,32,7,0,7,17,0,17,4,0,4,9,0,9,69,21,90
POA6638,0,66,66,43,7,50,41,0,41,13,0,13,8,0,8,15,0,15,120,73,193
POA6639,0,15,15,20,0,20,3,0,3,6,0,6,0,0,0,0,0,0,29,15,44
POA6640,0,46,46,34,0,34,9,0,9,5,0,5,4,0,4,4,0,4,56,46,102
POA6642,0,103,103,85,9,94,38,0,38,20,0,20,18,0,18,26,0,26,187,112,299
POA6646,0,26,26,27,4,31,14,0,14,6,0,6,9,0,9,25,0,25,81,30,111
POA6701,0,576,576,601,45,646,253,6,259,250,0,250,128,0,128,91,0,91,1323,627,1950
POA6705,0,23,23,19,0,19,11,0,11,3,0,3,5,0,5,11,0,11,49,23,72
POA6707,0,226,226,316,38,354,111,5,116,119,0,119,37,3,40,16,0,16,599,272,871
POA6710,0,104,104,93,8,101,24,0,24,30,0,30,19,0,19,13,0,13,179,112,291
POA6713,0,51,51,94,8,102,62,5,67,75,3,78,24,0,24,4,0,4,259,67,326
POA6714,0,744,744,1179,143,1322,661,43,704,897,9,906,350,4,354,178,5,183,3265,948,4213
POA6716,0,50,50,43,0,43,27,0,27,48,0,48,17,0,17,3,0,3,138,50,188
POA6718,0,33,33,57,4,61,32,0,32,17,4,21,15,0,15,51,0,51,172,41,213
POA6720,0,92,92,125,14,139,86,9,95,117,0,117,55,0,55,34,0,34,417,115,532
POA6721,0,291,291,341,39,380,177,13,190,187,0,187,86,0,86,37,0,37,828,343,1171
POA6722,0,450,450,705,106,811,435,26,461,413,12,425,246,3,249,153,0,153,1952,597,2549
POA6725,0,720,720,747,121,868,419,34,453,427,14,441,215,7,222,209,4,213,2017,900,2917
POA6726,0,319,319,535,78,613,261,24,285,257,10,267,104,4,108,83,0,83,1240,435,1675
POA6728,0,311,311,308,26,334,149,13,162,173,0,173,132,0,132,188,0,188,950,350,1300
POA6740,0,125,125,99,16,115,35,7,42,58,0,58,33,0,33,64,0,64,289,148,437
POA6743,0,448,448,596,77,673,233,20,253,234,5,239,118,4,122,138,0,138,1319,554,1873
POA6751,0,198,198,266,21,287,163,3,166,210,0,210,110,0,110,56,0,56,805,222,1027
POA6753,0,264,264,345,41,386,220,16,236,285,3,288,133,0,133,105,0,105,1088,324,1412
POA6754,0,100,100,114,12,126,59,3,62,87,0,87,39,0,39,19,0,19,318,115,433
POA6758,0,14,14,14,0,14,0,0,0,4,0,4,9,0,9,7,0,7,34,14,48
POA6760,0,49,49,22,3,25,3,0,3,13,0,13,13,0,13,26,0,26,77,52,129
POA6762,0,9,9,8,0,8,5,0,5,5,0,5,4,0,4,18,0,18,40,9,49
POA6765,0,79,79,90,9,99,37,0,37,52,0,52,35,0,35,55,0,55,269,88,357
POA6770,0,150,150,131,18,149,85,3,88,66,0,66,58,3,61,173,0,173,513,174,687
POA6907,0,42,42,11,6,17,4,3,7,0,0,0,4,0,4,0,0,0,19,51,70
