region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,543,234,86,28,6367
POA6003,164,54,27,0,1910
POA6004,653,295,99,34,5863
POA6005,358,159,91,59,3726
POA6006,518,240,155,92,4753
POA6007,518,224,128,70,4310
POA6008,1413,785,308,147,8694
POA6009,1719,1072,508,263,9587
POA6010,1535,1018,596,284,8758
POA6011,1017,535,277,155,5346
POA6012,762,480,238,118,4788
POA6014,1384,719,520,295,10635
POA6015,555,461,327,109,3436
POA6016,515,180,147,74,5263
POA6017,199,86,56,23,2325
POA6018,2278,1500,1000,555,18044
POA6019,1398,878,516,148,11830
POA6020,2330,1127,406,156,10545
POA6021,1094,723,396,148,8763
POA6022,410,250,90,22,2358
POA6023,1525,700,271,114,7528
POA6024,1165,596,230,69,6354
POA6025,2448,1067,422,130,14455
POA6026,1868,644,510,244,10233
POA6027,3193,1235,609,189,19867
POA6028,1030,387,167,25,8691
POA6029,243,146,76,37,1451
POA6030,1497,931,605,261,15651
POA6031,384,168,57,9,4570
POA6032,17,6,6,0,100
POA6033,40,19,3,3,298
POA6035,218,210,106,94,1894
POA6036,264,143,51,9,4236
POA6037,167,109,58,15,904
POA6041,154,97,30,6,540
POA6042,12,0,3,0,32
POA6043,12,12,6,3,81
POA6044,165,106,38,4,723
POA6050,1167,519,394,297,8442
POA6051,774,381,174,93,7382
POA6052,692,296,197,89,5291
POA6053,862,431,283,197,7005
POA6054,1207,646,351,110,8526
POA6055,801,477,199,80,5321
POA6056,2422,1328,708,308,15486
POA6057,874,548,254,42,6446
POA6058,766,379,232,89,4619
POA6059,1422,1064,649,215,10491
POA6060,1191,694,562,253,11817
POA6061,1348,849,538,118,13681
POA6062,2041,1292,669,214,13473
POA6063,704,252,107,45,5207
POA6064,1513,731,340,105,10710
POA6065,2284,1197,614,243,21631
POA6066,884,390,193,35,7004
POA6067,3,0,0,0,27
POA6068,0,0,0,0,0
POA6069,947,500,192,65,9900
POA6070,439,256,82,17,1890
POA6071,355,213,80,19,1799
POA6072,91,47,16,3,443
POA6073,297,179,115,59,1409
POA6074,101,59,7,3,435
POA6076,2197,1441,674,262,10586
POA6077,147,66,36,12,643
POA6078,81,27,9,3,356
POA6079,0,0,0,0,0
POA6081,369,167,72,10,2165
POA6082,252,133,49,10,1388
POA6083,319,164,40,6,1596
POA6084,403,223,60,10,2497
POA6090,3,0,0,0,9
POA6100,877,362,180,65,8032
POA6101,782,368,206,108,8055
POA6102,475,335,488,546,7367
POA6103,398,244,143,59,4308
POA6104,740,415,291,121,6313
POA6105,645,437,328,120,5936
POA6106,6,6,0,0,15
POA6107,1770,981,513,176,16855
POA6108,1391,822,337,57,9349
POA6109,567,341,207,56,4126
POA6110,1779,991,573,261,13773
POA6111,1788,881,407,91,9366
POA6112,2032,1097,632,186,16105
POA6121,184,73,29,0,1100
POA6122,472,223,82,54,3665
POA6123,72,24,20,3,476
POA6124,84,55,15,0,466
POA6125,179,127,50,6,1091
POA6126,58,19,6,0,351
POA6147,857,483,205,54,6241
POA6148,1415,870,527,257,8769
POA6149,1955,737,361,237,9397
POA6150,1224,601,386,174,6815
POA6151,1515,701,314,177,9698
POA6152,1838,925,595,398,13213
POA6153,1882,1024,607,256,10541
POA6154,714,499,439,217,5142
POA6155,3136,1266,453,119,22244
POA6156,984,642,538,170,7792
POA6157,1025,568,425,193,6899
POA6158,694,323,178,83,3822
POA6159,331,205,105,56,1737
POA6160,797,403,189,62,4675
POA6161,6,0,0,0,53
POA6162,875,424,236,71,5352
POA6163,2963,1653,1003,409,21078
POA6164,1983,817,324,74,20670
POA6165,6,3,3,0,40
POA6166,560,304,148,31,3503
POA6167,990,580,350,100,8971
POA6168,1453,1032,731,269,9811
POA6169,1964,1276,750,245,14237
POA6170,244,131,34,9,2604
POA6171,608,287,78,15,6584
POA6172,464,267,175,61,5407
POA6173,317,125,32,0,4145
POA6174,102,74,33,0,908
POA6175,128,76,36,0,1219
POA6176,72,19,8,0,320
POA6180,165,94,23,8,1436
POA6181,22,15,8,0,227
POA6182,0,0,0,0,0
POA6207,68,40,12,0,416
POA6208,616,557,305,53,3654
POA6209,151,94,60,25,718
POA6210,3963,3368,2227,748,25447
POA6211,429,329,80,12,2218
POA6213,65,31,6,0,248
POA6214,24,12,6,0,124
POA6215,206,157,61,19,1270
POA6218,20,25,8,0,175
POA6220,274,203,90,31,1731
POA6221,14,9,3,0,135
POA6224,59,30,20,0,384
POA6225,579,286,159,68,3627
POA6226,41,12,0,3,257
POA6227,15,5,12,0,197
POA6229,35,23,7,3,202
POA6230,2456,1240,765,273,17472
POA6232,418,255,196,115,3752
POA6233,1015,457,188,39,6536
POA6236,147,56,20,7,811
POA6237,211,106,27,9,1087
POA6239,316,174,71,24,1617
POA6240,32,19,0,0,121
POA6244,116,67,24,17,604
POA6251,40,15,8,0,168
POA6253,93,64,9,6,289
POA6254,58,17,11,0,220
POA6255,357,226,67,17,1449
POA6256,21,6,9,0,73
POA6258,374,205,89,38,2178
POA6260,106,58,29,9,561
POA6262,77,45,17,0,318
POA6271,215,90,32,9,1140
POA6275,162,83,27,3,542
POA6280,1472,987,646,210,9650
POA6281,405,272,114,31,2685
POA6282,131,67,15,3,628
POA6284,98,62,19,4,720
POA6285,515,218,109,32,3537
POA6286,86,28,10,3,302
POA6288,48,24,10,3,203
POA6290,157,121,78,33,712
POA6302,334,197,87,15,1362
POA6304,147,102,41,7,579
POA6306,59,44,20,10,303
POA6308,87,55,24,14,508
POA6309,19,13,3,3,97
POA6311,34,26,12,3,193
POA6312,271,160,95,35,1769
POA6313,18,13,3,0,127
POA6315,122,72,39,19,579
POA6316,22,12,6,0,140
POA6317,209,110,63,27,1387
POA6318,17,7,3,0,74
POA6320,43,20,6,3,273
POA6321,10,9,3,0,73
POA6322,27,18,9,9,158
POA6323,89,69,6,0,348
POA6324,230,129,63,31,1144
POA6326,54,24,12,0,194
POA6327,23,0,3,0,117
POA6328,24,23,5,0,161
POA6330,2285,1332,810,297,13685
POA6333,517,388,146,37,2504
POA6335,41,13,3,0,240
POA6336,22,12,0,0,64
POA6337,18,4,0,3,154
POA6338,43,24,12,0,261
POA6341,17,0,0,0,95
POA6343,9,9,3,0,74
POA6346,42,14,4,0,303
POA6348,86,70,25,9,576
POA6350,15,14,3,0,74
POA6352,17,3,4,0,128
POA6353,44,19,12,3,250
POA6355,46,13,7,4,268
POA6358,13,12,3,3,73
POA6359,24,12,3,0,239
POA6365,36,20,6,0,183
POA6367,14,9,3,3,79
POA6368,9,5,0,0,43
POA6369,26,15,19,19,197
POA6370,30,13,3,6,168
POA6373,10,3,3,0,72
POA6375,55,36,21,10,278
POA6383,65,43,30,7,340
POA6386,14,3,4,0,77
POA6390,144,51,15,6,1136
POA6391,43,29,12,4,312
POA6392,20,20,7,0,170
POA6393,15,6,4,0,103
POA6394,24,13,6,0,141
POA6395,84,47,32,6,512
POA6396,22,3,3,0,123
POA6397,25,13,0,3,192
POA6398,52,49,8,0,215
POA6401,517,281,160,69,2873
POA6403,12,6,9,0,66
POA6405,18,7,3,0,83
POA6407,50,38,25,10,353
POA6409,21,12,18,3,130
POA6410,60,49,19,6,353
POA6413,9,9,0,0,50
POA6415,125,53,34,17,984
POA6418,30,26,16,10,231
POA6421,9,9,3,0,67
POA6423,9,9,3,0,97
POA6425,0,5,0,3,39
POA6426,57,20,13,0,375
POA6429,114,34,12,3,633
POA6430,979,322,140,45,9935
POA6431,24,6,0,0,125
POA6432,370,148,39,15,3093
POA6434,3,3,0,0,15
POA6436,13,5,0,3,58
POA6437,42,14,0,3,688
POA6438,62,12,9,0,678
POA6440,70,28,3,0,542
POA6442,99,33,4,4,910
POA6443,61,49,9,4,464
POA6445,0,3,0,0,44
POA6447,5,7,6,4,150
POA6448,24,10,7,0,155
POA6450,668,462,254,95,4762
POA6460,59,26,16,5,307
POA6461,29,14,6,4,123
POA6462,22,7,4,0,92
POA6468,3,4,0,3,50
POA6472,6,3,0,0,62
POA6475,13,9,12,0,107
POA6477,15,6,0,3,90
POA6479,17,13,9,0,149
POA6484,24,3,0,0,241
POA6485,22,29,14,6,175
POA6488,15,19,3,3,114
POA6490,10,0,7,3,77
POA6501,67,29,7,0,353
POA6502,85,67,27,6,393
POA6503,125,85,27,5,710
POA6505,14,24,6,0,116
POA6507,24,23,0,3,160
POA6509,18,6,5,0,130
POA6510,127,44,28,12,707
POA6511,36,25,18,3,179
POA6513,15,9,3,0,59
POA6514,59,47,18,0,233
POA6515,19,14,3,0,142
POA6516,116,82,37,12,615
POA6517,38,18,4,3,172
POA6518,4,10,0,0,36
POA6519,45,9,12,7,232
POA6521,13,16,6,0,116
POA6522,33,18,7,0,154
POA6525,254,179,87,17,1344
POA6528,22,3,3,0,95
POA6530,1761,936,514,168,12222
POA6532,370,157,68,10,2376
POA6535,96,82,37,16,510
POA6536,135,81,41,3,651
POA6537,63,33,17,0,283
POA6556,143,66,28,6,807
POA6558,123,61,18,0,1719
POA6560,69,52,15,3,454
POA6562,112,59,17,0,429
POA6564,40,14,6,0,137
POA6566,344,180,56,14,1300
POA6567,49,28,7,0,152
POA6568,12,3,6,0,67
POA6569,14,12,5,6,115
POA6575,8,13,3,0,85
POA6603,56,21,14,9,378
POA6606,17,9,0,0,104
POA6608,15,9,3,0,85
POA6609,16,15,11,4,184
POA6612,15,3,3,0,57
POA6620,12,6,6,0,63
POA6623,86,33,28,3,637
POA6628,3,0,4,0,56
POA6630,29,20,11,0,199
POA6635,26,6,3,0,239
POA6638,33,26,3,0,272
POA6639,9,9,0,0,41
POA6640,34,15,3,0,109
POA6642,77,21,9,0,627
POA6646,46,13,0,0,594
POA6701,386,222,95,24,2309
POA6705,19,9,0,0,63
POA6707,158,87,26,7,1124
POA6710,185,29,0,0,1513
POA6713,70,10,3,0,646
POA6714,973,157,15,4,10240
POA6716,25,3,0,0,270
POA6718,42,10,0,0,300
POA6720,129,18,9,0,1260
POA6721,313,65,14,3,3068
POA6722,479,77,17,5,5250
POA6725,541,192,64,16,4404
POA6726,322,103,28,4,2454
POA6728,306,81,27,6,3363
POA6740,62,44,6,3,581
POA6743,350,100,11,0,2841
POA6751,218,25,6,0,2954
POA6753,421,41,0,0,5141
POA6754,37,7,0,0,653
POA6758,15,4,3,0,50
POA6760,18,11,6,0,161
POA6762,47,6,0,0,634
POA6765,34,15,6,3,435
POA6770,121,38,12,9,793
POA6907,9,3,0,0,240
