POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA6403,0,0,0,0,9,6,0,0,0,0,0,0,4,4,10,4,7,8,0,3,5,0,0,0,8,9,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,16,24,28,49
POA6405,0,3,7,18,8,32,6,7,9,0,0,0,21,12,38,0,4,7,4,0,5,0,0,3,10,10,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,14,43,34,80
POA6407,4,8,11,46,50,88,0,0,0,7,0,7,47,46,99,100,36,140,7,0,10,4,8,12,107,50,153,3,0,3,0,0,0,0,0,0,3,8,10,0,0,0,3,11,18,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,77,56,137,252,179,428
POA6409,0,0,3,33,16,51,0,0,0,0,0,0,33,16,51,0,5,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,7,0,0,3,0,0,0,0,3,3,3,3,9,0,0,0,3,9,13,3,3,4,0,0,0,0,0,0,3,3,4,31,31,61,79,63,140
POA6410,9,3,12,47,46,91,0,0,3,3,8,12,52,51,104,25,23,47,0,0,0,4,0,7,27,25,50,0,0,3,0,0,0,0,0,3,0,10,9,0,0,0,3,12,17,0,4,4,3,4,4,0,3,0,0,0,0,0,0,0,6,8,11,0,0,0,0,0,5,0,0,0,0,0,5,58,61,116,149,157,306
POA6411,0,0,0,3,0,7,0,0,0,0,0,0,3,0,7,3,6,7,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,17,17,13,34
POA6412,0,0,0,0,0,3,0,0,3,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,12,9,17
POA6413,0,0,0,0,0,3,6,0,6,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,5
POA6414,0,0,0,0,0,0,6,0,7,0,0,0,5,0,8,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,11,12,21
POA6415,14,20,26,78,72,151,60,44,105,0,3,3,143,112,255,100,105,205,0,0,3,0,0,0,107,102,213,13,0,13,0,0,0,5,9,14,10,19,22,0,0,0,27,28,51,0,10,11,0,4,4,0,0,0,0,5,11,0,0,0,5,20,22,70,5,75,3,0,3,0,0,0,69,6,77,120,118,239,481,406,884
POA6418,3,3,11,31,33,62,0,0,0,0,0,0,28,33,65,16,14,25,0,0,0,0,0,0,16,14,25,0,0,0,0,0,0,3,0,4,4,3,8,0,0,0,3,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,0,0,3,3,7,33,30,62,91,97,185
POA6419,0,0,3,5,3,5,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,16
POA6420,0,0,0,3,0,7,0,0,0,0,0,0,3,4,7,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,12,21,18,18,34
POA6421,3,0,4,0,3,3,9,11,16,0,0,0,9,15,22,0,4,7,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,26,28,31,57
POA6422,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,3,17
POA6423,0,3,0,0,0,4,3,4,5,0,0,0,6,8,10,0,3,8,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,14,7,25,33,22,51
POA6424,0,0,0,3,8,6,0,0,0,0,0,0,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,13,13,20
POA6425,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,9,16,15,12,26
POA6426,4,3,8,25,21,44,5,12,14,0,0,0,28,33,64,16,11,24,0,0,0,0,0,0,16,8,26,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,69,47,112,118,99,219
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,27,24,3,29
POA6428,3,0,3,3,3,7,0,0,0,0,0,0,3,3,7,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,18
POA6429,4,0,6,17,11,35,3,4,12,21,17,34,36,35,77,5,9,19,8,5,19,23,17,37,37,36,76,0,3,3,0,3,3,0,0,0,4,9,10,0,0,0,4,13,15,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,5,3,0,0,3,0,3,0,0,0,3,0,5,57,63,123,148,151,303
POA6430,171,151,315,828,817,1649,221,235,454,63,63,125,1118,1106,2226,412,395,805,261,291,557,46,63,107,727,744,1473,24,32,61,7,25,37,64,83,141,76,186,261,0,4,3,176,329,501,102,41,138,79,45,119,11,23,38,92,154,250,0,0,0,282,263,543,11,19,25,27,69,97,4,0,4,42,87,128,1185,1032,2217,3695,3707,7405
POA6431,4,9,13,33,22,56,0,0,0,3,0,4,42,26,65,18,15,29,0,0,0,3,4,6,23,17,36,0,0,0,0,0,0,3,3,4,3,0,8,0,0,0,11,7,16,0,3,3,0,3,4,0,0,0,4,4,5,0,0,0,5,10,10,0,0,0,3,0,4,0,0,0,3,0,4,85,62,150,163,125,288
POA6432,49,56,104,275,265,537,45,47,89,27,13,42,337,328,664,124,123,246,37,40,78,12,5,19,171,168,343,6,7,16,0,8,8,23,28,53,9,55,68,0,0,0,43,97,146,3,11,8,0,15,15,3,5,3,6,31,35,0,0,0,13,50,65,5,6,12,12,9,20,0,0,0,14,24,39,564,441,1009,1200,1163,2366
POA6434,0,0,0,5,3,9,0,0,0,0,0,0,5,3,9,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,14,9,25
POA6436,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,3,4,9,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,23,22,16,40
POA6437,3,0,3,20,23,44,0,0,0,0,5,3,20,27,47,4,5,10,0,0,0,0,0,0,8,5,10,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,3,9,8,0,0,0,4,0,4,0,0,0,3,3,4,0,0,0,5,3,10,0,0,0,0,0,4,0,0,0,3,0,3,111,36,152,150,80,229
POA6438,0,3,5,23,18,44,0,0,0,0,0,0,23,18,44,10,3,9,0,0,0,0,0,0,10,3,9,0,0,0,0,4,4,3,3,3,5,0,7,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,8,10,14,0,0,0,9,10,10,0,3,3,0,0,0,0,0,0,0,3,3,118,70,189,166,105,273
POA6440,0,6,10,31,36,67,0,0,0,0,0,0,31,36,67,15,14,28,0,0,0,0,0,0,15,16,30,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,6,3,12,0,0,0,6,5,14,0,0,0,0,3,3,0,0,0,0,3,3,165,61,220,216,128,348
POA6442,14,13,26,110,102,208,8,22,31,7,4,12,123,125,247,59,59,118,20,16,34,9,6,11,83,79,163,4,6,10,0,0,0,7,10,15,12,14,26,0,0,0,25,33,60,0,0,0,0,4,7,0,5,3,9,14,23,0,0,0,14,18,34,0,3,3,8,7,14,0,0,0,8,11,13,214,146,364,485,431,908
POA6443,3,3,7,21,37,60,0,0,0,0,0,0,26,37,59,15,3,24,0,0,0,0,3,3,15,9,23,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,3,85,64,145,136,118,251
POA6445,0,0,0,11,16,24,0,0,0,0,0,0,11,16,24,3,0,4,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,20,22,38,33,44,71
POA6446,0,0,0,3,12,13,0,0,0,0,0,0,3,12,13,5,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,22,23,23,46
POA6447,3,0,3,9,11,16,0,0,0,0,0,0,9,11,16,0,3,3,0,0,0,4,4,8,8,3,14,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,33,36,28,68
POA6448,3,3,4,20,11,31,0,4,5,0,4,8,18,20,43,10,13,20,0,0,0,27,34,56,28,43,79,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,25,44,72,103,177
POA6450,79,94,164,469,469,940,47,39,83,56,37,94,574,552,1119,407,390,796,5,4,14,82,78,160,490,472,968,17,4,22,0,7,10,31,29,58,27,64,82,0,0,0,75,107,178,6,17,23,4,16,18,4,13,15,17,54,66,0,0,0,32,99,125,7,8,11,5,17,30,0,0,0,13,29,42,868,806,1673,2119,2150,4269
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
POA6460,7,5,9,13,25,38,26,17,40,0,0,0,33,40,72,5,7,10,4,7,17,0,0,0,11,16,25,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,0,0,3,0,3,3,0,5,5,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,47,52,96,101,122,225
POA6461,10,6,10,16,16,33,3,3,3,0,4,4,18,22,39,6,3,13,3,0,3,0,0,0,11,3,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,23,26,47,58,72,130
POA6462,0,0,3,9,8,19,0,0,0,0,0,0,9,8,19,10,0,10,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,22,14,38
POA6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
POA6465,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
POA6466,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,3,10,15
POA6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
POA6468,0,0,3,18,5,27,0,0,0,0,0,0,18,5,27,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,17,11,31,41,25,71
POA6470,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA6472,4,0,4,16,15,27,0,0,0,0,0,0,16,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,15,25,19,47
POA6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
POA6475,3,0,4,29,18,43,0,0,0,0,0,0,29,18,43,5,7,13,0,0,0,0,0,0,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,24,45,38,89
POA6476,0,0,0,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
POA6477,0,0,3,9,6,21,0,0,0,0,0,0,9,6,21,3,3,9,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,16,31,36,32,69
POA6479,0,0,8,25,14,42,0,0,0,4,5,13,26,22,48,5,8,11,0,0,0,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,20,51,68,57,129
POA6480,0,0,0,0,0,0,0,0,3,0,0,0,4,3,6,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,12,16
POA6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,20,15,9,24
POA6485,0,8,6,14,12,33,0,0,0,0,0,3,20,14,35,0,3,7,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,38,31,77,61,64,131
POA6487,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,15,7,21
POA6488,0,0,0,3,10,11,0,0,0,0,0,0,3,10,11,3,3,7,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,31,19,33,53
POA6489,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,18,22,9,31
POA6490,3,0,4,10,7,11,5,0,5,0,0,0,9,7,14,4,5,12,0,0,0,0,0,0,4,5,12,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21,39,32,64
POA6501,3,7,10,24,34,57,3,6,7,8,6,11,39,48,79,31,16,44,5,0,6,10,3,10,43,19,63,3,0,3,0,3,3,0,3,5,0,0,0,0,0,0,7,10,16,3,0,5,0,0,0,0,0,0,0,4,4,0,0,0,3,10,8,0,0,3,0,7,7,0,0,0,0,3,8,56,47,103,145,140,282
POA6502,0,6,7,31,48,76,3,3,4,4,0,4,39,48,87,21,23,37,50,34,80,10,5,11,70,60,133,0,0,0,0,5,5,6,3,8,0,4,7,0,0,0,4,11,17,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,5,6,16,0,0,0,0,3,3,0,0,0,0,6,6,49,52,104,177,195,366
POA6503,18,14,28,71,72,141,10,8,19,12,8,17,84,88,176,42,29,71,5,13,19,13,15,31,61,58,120,6,3,9,0,0,0,0,0,9,5,8,10,0,0,0,10,15,26,0,17,15,0,6,6,3,0,3,0,6,9,0,0,0,5,23,33,0,0,0,0,4,11,0,0,0,0,7,7,126,109,229,303,315,619
POA6504,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,7,9,0,4,4,0,3,3,3,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,12,15,16,26,44
POA6505,0,0,3,5,0,6,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,16,11,24
POA6506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,9
POA6507,3,0,9,14,11,30,3,3,5,0,0,0,23,14,34,5,0,11,0,0,0,3,4,9,14,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,3,3,0,0,0,0,3,3,29,22,53,68,49,119
POA6509,3,0,3,3,11,16,0,0,0,0,0,0,3,11,16,0,3,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,10,53,48,33,83
POA6510,13,8,21,29,28,57,53,58,109,0,3,4,79,86,164,52,56,102,0,0,0,0,3,3,53,59,107,5,0,5,0,0,0,9,3,9,3,14,16,0,0,0,14,20,29,0,6,5,0,0,3,0,0,0,0,6,6,0,0,0,4,12,20,0,0,0,6,3,9,0,0,0,6,3,9,110,119,228,269,305,576
POA6511,0,3,7,17,8,31,0,0,0,0,0,0,17,8,31,4,3,8,0,3,3,0,0,0,6,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,32,30,61,64,63,120
POA6512,0,0,0,3,5,8,0,0,0,0,0,0,3,5,9,6,3,7,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,13,16,24
POA6513,4,0,4,18,11,33,0,0,0,0,0,0,18,13,32,6,8,12,0,0,0,0,0,0,6,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,15,39,30,66
POA6514,4,0,4,20,21,40,0,0,0,0,0,0,21,21,39,14,7,14,0,0,0,0,0,0,14,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,40,31,74,80,60,139
POA6515,3,0,5,15,16,27,0,0,0,0,0,0,10,16,23,0,4,5,3,0,3,3,0,3,9,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,25,26,53
POA6516,13,8,21,67,63,130,0,0,0,0,0,0,68,64,131,35,32,63,3,0,3,3,3,8,36,36,69,0,3,3,0,0,0,4,3,4,4,3,6,0,0,0,12,9,17,0,0,0,0,4,4,0,0,0,3,3,7,0,0,0,3,10,12,0,0,0,0,0,0,0,0,0,0,3,3,82,78,168,216,213,429
POA6517,4,0,6,24,16,36,0,0,0,0,0,3,25,15,34,8,3,15,0,0,0,0,0,0,8,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,40,61,43,104
POA6518,0,0,0,8,10,16,0,0,0,0,0,0,8,10,16,4,5,16,0,0,0,0,0,0,4,8,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,19,27,45
