POA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,10,13,5,0,0,38
POA6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,11
POA6468,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,13,20,36,24,25,8,3,0,123
POA6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10
POA6472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,20,22,27,16,8,0,0,105
POA6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,5,4,0,0,24
POA6475,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,3,0,0,0,12,3,6,23,38,30,50,14,8,0,185
POA6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,8,0,0,0,25
POA6477,0,0,3,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,5,5,24,32,39,18,6,12,0,129
POA6479,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,6,6,8,59,54,49,62,28,9,3,271
POA6480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,3,0,0,23
POA6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,14,12,0,0,0,57
POA6485,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,10,30,23,45,37,16,8,0,180
POA6487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,4,3,0,30
POA6488,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,12,14,25,15,8,0,0,78
POA6489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,10,6,8,3,0,0,35
POA6490,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,3,15,13,19,24,34,0,0,0,110
POA6501,3,4,4,5,4,3,0,0,0,27,3,0,4,5,12,3,0,0,0,34,22,35,64,101,128,79,23,3,3,460
POA6502,0,0,3,0,3,3,4,0,0,17,0,3,3,6,10,9,0,0,0,26,16,40,58,85,111,103,45,7,0,474
POA6503,5,5,5,9,7,11,0,0,0,34,7,8,9,6,3,14,3,0,0,51,40,75,191,176,241,196,97,25,0,1037
POA6504,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,4,6,11,4,16,17,7,3,0,74
POA6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,8,12,12,16,13,8,3,0,70
POA6506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,8,9,5,0,0,33
POA6507,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,3,26,46,64,63,67,36,9,3,311
POA6509,0,0,0,0,6,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,10,23,27,13,5,5,0,87
POA6510,5,8,12,4,9,5,5,0,0,42,3,3,3,8,8,5,0,0,0,35,36,68,152,167,199,176,71,16,0,898
POA6511,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,3,0,0,0,14,6,19,49,31,53,40,14,3,0,213
POA6512,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,6,17,22,12,9,0,0,58
POA6513,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,13,37,22,25,8,3,0,112
POA6514,0,3,3,0,4,0,0,0,0,10,0,0,0,0,0,3,0,0,0,11,7,14,19,30,51,53,14,0,0,184
POA6515,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,3,28,29,47,37,23,7,0,176
POA6516,0,0,3,7,10,6,0,0,0,31,3,3,4,6,4,4,4,0,0,28,33,39,109,154,166,147,22,7,0,675
POA6517,0,3,0,0,0,0,0,0,0,8,0,0,0,4,3,5,0,0,0,11,0,18,34,41,38,52,9,3,0,197
POA6518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,17,13,28,19,11,3,0,101
POA6519,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,10,10,9,56,56,54,57,24,0,0,264
POA6521,0,0,3,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,6,4,11,40,29,56,48,36,9,0,235
POA6522,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,10,7,15,52,48,44,45,14,0,0,232
POA6525,3,3,7,12,11,9,3,0,0,52,0,5,7,11,17,19,9,4,0,67,69,65,181,284,359,313,100,20,3,1389
POA6528,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,6,5,25,37,54,44,15,3,0,181
POA6530,48,78,126,132,124,83,26,4,0,622,39,57,118,128,144,85,37,12,0,618,989,1180,2583,2869,3387,2321,521,69,11,13907
POA6532,8,17,38,25,23,16,0,0,0,135,11,13,13,23,35,21,7,3,0,126,172,223,538,688,778,550,127,21,4,3096
POA6535,0,0,0,3,0,5,0,0,0,10,0,0,4,3,8,8,3,0,0,23,19,34,74,106,166,157,63,3,0,618
POA6536,0,3,0,10,7,4,4,0,0,26,3,3,3,3,13,3,0,0,0,28,32,51,68,124,176,163,55,3,0,671
POA6537,0,3,4,0,0,0,0,0,0,14,0,5,3,3,4,3,0,0,0,22,9,31,77,92,85,79,22,3,0,402
POA6556,4,3,3,11,4,11,3,0,0,44,0,6,13,10,22,6,3,0,0,60,57,81,138,168,286,214,50,5,0,999
POA6558,0,3,0,5,0,0,0,0,0,15,0,3,3,3,7,3,0,0,0,19,7,29,41,83,109,79,16,0,0,362
POA6560,3,0,7,6,5,5,0,0,0,31,3,7,3,12,9,10,3,0,0,44,43,48,92,119,150,126,19,0,0,590
POA6562,3,0,0,6,0,3,0,0,0,25,3,3,3,4,5,11,5,0,0,39,34,30,88,106,133,130,40,7,0,571
POA6564,0,0,3,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,8,25,16,27,34,9,3,0,130
POA6566,3,3,0,3,8,17,4,0,0,41,4,0,8,3,17,7,4,3,0,47,57,68,139,179,359,354,113,17,0,1300
POA6567,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,0,3,0,12,8,5,10,21,55,45,23,8,0,180
POA6568,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,8,10,8,19,46,24,12,5,0,121
POA6569,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,5,0,0,0,8,7,4,26,24,35,25,10,0,0,121
POA6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,12,11,3,0,0,44
POA6572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,8,6,6,4,0,0,31
POA6574,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,16,3,4,0,0,43
POA6575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,22,19,19,4,4,0,76
POA6603,0,0,3,5,6,0,0,0,0,20,3,0,8,4,7,3,0,0,0,24,18,36,115,121,103,117,39,12,0,561
POA6605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,10,3,3,0,0,26
POA6606,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,7,12,14,25,16,8,5,0,85
POA6608,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,4,17,15,14,3,0,0,66
POA6609,0,0,4,3,0,3,0,0,0,12,0,0,11,3,6,4,0,0,0,29,14,44,112,88,84,62,26,15,0,440
POA6612,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,8,18,24,9,26,11,3,0,98
POA6613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,5,0,0,0,23
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,13
POA6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,8,0,3,0,0,27
POA6620,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,3,0,0,0,10,8,15,84,58,67,64,17,3,0,314
POA6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,11,24,37,52,58,65,17,5,0,266
POA6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,4,0,0,0,29
POA6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,8,11,4,8,0,0,33
POA6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8
POA6630,0,3,0,0,0,0,0,0,0,3,0,0,7,0,11,3,0,0,0,19,3,14,44,33,77,53,11,0,0,242
POA6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,3,0,16
POA6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,0,6,0,0,29
POA6635,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,15,50,28,48,30,3,3,0,176
POA6638,0,0,0,0,3,0,0,0,0,0,0,0,0,3,10,3,0,0,0,16,4,6,27,33,35,30,13,0,0,150
POA6639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,18,3,0,0,40
POA6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,3,11,5,16,19,6,0,0,73
POA6642,0,0,0,3,0,3,0,0,0,7,0,0,0,10,6,3,0,0,0,23,3,30,134,100,98,71,28,0,0,463
POA6646,0,0,0,4,0,0,0,0,0,3,0,0,3,0,3,3,3,0,0,9,7,31,123,89,68,48,16,0,0,371
POA6701,4,8,11,7,17,10,4,0,0,56,8,10,17,20,26,20,4,3,0,105,102,178,482,461,561,419,130,23,0,2351
POA6705,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,11,21,15,9,19,5,0,0,72
POA6707,9,3,15,11,15,3,0,0,0,51,3,3,18,16,7,11,3,0,0,66,73,102,318,343,317,203,44,4,0,1402
POA6710,0,0,3,4,3,3,0,0,0,20,0,8,35,40,35,20,0,0,0,131,8,111,802,716,690,415,36,0,0,2788
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,5,0,0,0,0,0,0,5,0,9,45,39,35,16,3,0,0,145,0,57,532,453,337,155,15,0,0,1547
POA6713,0,0,5,3,3,0,0,0,0,9,5,0,9,7,7,6,0,0,0,28,23,27,108,172,181,55,15,3,0,577
POA6714,23,40,108,77,52,25,0,3,0,322,24,61,145,139,97,41,10,4,0,524,350,697,2661,2325,1688,880,120,15,6,8727
POA6716,0,3,0,3,3,0,0,0,0,8,0,0,3,0,3,0,0,0,0,6,8,22,110,105,106,57,3,0,0,411
POA6718,0,0,3,0,8,4,0,0,0,17,0,3,7,3,3,0,3,0,0,20,3,11,42,40,48,34,10,3,0,191
POA6720,0,5,4,7,3,0,0,0,0,18,0,3,10,11,4,3,0,0,0,28,51,110,318,339,259,123,9,0,0,1204
POA6721,0,8,37,22,14,10,4,0,0,87,3,9,23,23,27,10,3,0,0,90,68,152,765,664,483,295,45,4,0,2488
POA6722,9,29,82,30,23,9,5,0,0,195,10,23,52,28,48,32,6,0,0,197,180,409,1450,1017,898,484,71,4,3,4513
POA6725,10,31,57,68,44,31,3,0,0,249,17,20,52,48,45,38,8,3,0,240,165,337,1279,1145,918,710,133,15,0,4701
POA6726,9,14,33,24,19,9,0,0,0,111,10,11,30,27,25,14,4,0,0,130,121,158,633,649,624,413,72,6,0,2683
POA6728,14,16,39,28,22,11,6,3,0,144,4,6,21,5,27,18,0,0,0,95,53,149,427,380,356,361,84,7,0,1809
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,0,0,3,10,3,3,0,0,0,24,3,5,4,4,0,3,0,0,0,20,14,32,66,81,73,59,15,3,0,341
POA6743,8,17,39,21,27,6,3,0,0,121,9,23,35,37,22,26,10,0,0,159,126,260,741,621,634,482,107,11,0,2984
POA6751,3,4,21,15,3,3,0,0,0,56,3,6,20,16,18,9,0,0,0,69,39,164,923,813,570,313,39,3,0,2866
POA6753,8,16,62,49,16,13,0,0,0,153,4,4,21,17,15,3,0,0,0,71,89,284,1266,1000,734,361,45,3,0,3784
POA6754,0,0,3,3,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,9,20,41,174,237,140,69,10,0,0,698
POA6758,0,0,19,7,3,0,0,0,0,29,0,4,5,10,0,0,0,0,0,21,8,82,458,345,274,142,11,0,0,1323
POA6760,0,0,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,10,6,19,73,56,46,38,17,3,0,257
POA6762,3,3,21,12,0,0,0,0,0,38,0,0,3,3,0,0,0,0,0,5,8,29,189,124,93,50,14,0,0,498
POA6765,5,10,18,14,14,9,0,0,0,55,0,5,7,5,5,0,0,0,0,19,18,59,168,89,91,63,17,0,0,506
POA6770,0,3,8,6,14,0,0,0,0,39,0,9,4,12,6,5,0,0,0,31,19,66,153,128,125,109,20,0,0,611
